date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:11	147/147	---M--	200	added ('OK')	text/html	etag:%22f007c54b7fe4c5d8e15e8fe6ececcc83%22	https://canetastouch.vercel.app/	C:/Users/pablo/Downloads/canetinhas%20touch/canetastouch.vercel.app/index.html	(from )
11:44:11	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Jul%202025%2014:44:11%20GMT	https://canetastouch.vercel.app/robots.txt		(from )
11:44:12	19536/19536	---MCZ	200	added ('OK')	text/html	etag:W/%22afaad8fd911c74634197aa27389ec6f6%22	https://canetastouch.vercel.app/livro-bob.vercel.app/index.html	C:/Users/pablo/Downloads/canetinhas%20touch/canetastouch.vercel.app/livro-bob.vercel.app/index.html	(from https://canetastouch.vercel.app/)
11:44:12	13652/13652	---MCZ	200	added ('OK')	text/javascript	etag:W/%221b860b407b8b4d6b1447299031d725b1%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Users/pablo/Downloads/canetinhas%20touch/cdn.utmify.com.br/scripts/utms/latest.js	(from https://canetastouch.vercel.app/livro-bob.vercel.app/index.html)
11:44:13	34296/34296	---MCZ	200	added ('OK')	text/javascript	etag:W/%2265c8eb9921140613ab7e29c6c10a17fe%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Users/pablo/Downloads/canetinhas%20touch/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://canetastouch.vercel.app/livro-bob.vercel.app/index.html)
11:44:13	24007/24007	---M--	200	added ('OK')	image/png	etag:%2274da1a082d71dc5e46380655cf5734a8%22	https://canetastouch.vercel.app/livro-bob.vercel.app/images/logoamazon1.png	C:/Users/pablo/Downloads/canetinhas%20touch/canetastouch.vercel.app/livro-bob.vercel.app/images/logoamazon1.png	(from https://canetastouch.vercel.app/livro-bob.vercel.app/index.html)
11:44:14	52148/52148	---M--	200	added ('OK')	image/png	etag:%2266d84f9d93129408b7f65bc7e346143e%22	https://canetastouch.vercel.app/livro-bob.vercel.app/images/user.png	C:/Users/pablo/Downloads/canetinhas%20touch/canetastouch.vercel.app/livro-bob.vercel.app/images/user.png	(from https://canetastouch.vercel.app/livro-bob.vercel.app/index.html)
11:44:15	47301/47301	---M--	200	added ('OK')	image/png	etag:%226ab3498ee03a92c090ec01ebd787dbde%22	https://canetastouch.vercel.app/livro-bob.vercel.app/images/cart2.png	C:/Users/pablo/Downloads/canetinhas%20touch/canetastouch.vercel.app/livro-bob.vercel.app/images/cart2.png	(from https://canetastouch.vercel.app/livro-bob.vercel.app/index.html)
11:44:15	325/325	---M--	200	added ('OK')	image/png	etag:%2220784779030849e900201c402a1625f6%22	https://canetastouch.vercel.app/img.icons8.com/material-rounded/24/search.png	C:/Users/pablo/Downloads/canetinhas%20touch/canetastouch.vercel.app/img.icons8.com/material-rounded/24/search.png	(from https://canetastouch.vercel.app/livro-bob.vercel.app/index.html)
11:44:16	64935/64935	---M--	200	added ('OK')	image/png	etag:%22d8a9c459781d62b0520c831454b7e073%22	https://canetastouch.vercel.app/livro-bob.vercel.app/images/local.png	C:/Users/pablo/Downloads/canetinhas%20touch/canetastouch.vercel.app/livro-bob.vercel.app/images/local.png	(from https://canetastouch.vercel.app/livro-bob.vercel.app/index.html)
11:44:17	37235/37235	---MCZ	200	added ('OK')	text/html	etag:W/%229dcb1748ab794a2e439cd270f5dac2bc%22	https://canetastouch.vercel.app/livro-bob.vercel.app/7.html	C:/Users/pablo/Downloads/canetinhas%20touch/canetastouch.vercel.app/livro-bob.vercel.app/7.html	(from https://canetastouch.vercel.app/livro-bob.vercel.app/index.html)
11:44:18	29558/29558	---M--	200	added ('OK')	image/jpeg	etag:%22ba7374c42b2eb6ec1feb72885288d36e%22	https://canetastouch.vercel.app/a-static.mlcdn.com.br/800x560/livro-de-colorir-bobbie-goods-80-canetinhas-pon/mbcomericoatacado/kitcnt80rosa/810051702e6ea56ba5fc83fe01a3d844.jpg	C:/Users/pablo/Downloads/canetinhas%20touch/canetastouch.vercel.app/a-static.mlcdn.com.br/800x560/livro-de-colorir-bobbie-goods-80-canetinhas-pon/mbcomericoatacado/kitcnt80rosa/810051702e6ea56ba5fc83fe01a3d844.jpg	(from https://canetastouch.vercel.app/livro-bob.vercel.app/index.html)
11:44:18	39155/39155	---MCZ	200	added ('OK')	text/html	etag:W/%225e37da3ab024a6e118f14c3a95a0f70f%22	https://canetastouch.vercel.app/livro-bob.vercel.app/1.html	C:/Users/pablo/Downloads/canetinhas%20touch/canetastouch.vercel.app/livro-bob.vercel.app/1.html	(from https://canetastouch.vercel.app/livro-bob.vercel.app/index.html)
